State,"Prices February, 2022 (Rs./Quintal)","Prices January, 2022 (Rs./Quintal)","Prices February, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year),Commodity,Year,Month,"Prices March, 2022 (Rs./Quintal)","Prices March, 2021 (Rs./Quintal)","Prices April, 2022 (Rs./Quintal)","Prices April, 2021 (Rs./Quintal)","Prices May, 2022 (Rs./Quintal)","Prices May, 2021 (Rs./Quintal)","Prices June, 2022 (Rs./Quintal)","Prices June, 2021 (Rs./Quintal)","Prices July, 2022 (Rs./Quintal)","Prices July, 2021 (Rs./Quintal)","Prices August, 2022 (Rs./Quintal)","Prices August, 2021 (Rs./Quintal)","Prices September, 2022 (Rs./Quintal)","Prices September, 2021 (Rs./Quintal)","Prices October, 2022 (Rs./Quintal)","Prices October, 2021 (Rs./Quintal)","Prices November, 2022 (Rs./Quintal)","Prices November, 2021 (Rs./Quintal)","Prices December, 2022 (Rs./Quintal)","Prices December, 2021 (Rs./Quintal)","Prices January, 2023 (Rs./Quintal)","Prices February, 2023 (Rs./Quintal)","Prices March, 2023 (Rs./Quintal)","Prices April, 2023 (Rs./Quintal)","Prices May, 2023 (Rs./Quintal)","Prices June, 2023 (Rs./Quintal)","Prices July, 2023 (Rs./Quintal)","Prices August, 2023 (Rs./Quintal)","Prices September, 2023 (Rs./Quintal)","Prices October, 2023 (Rs./Quintal)","Prices November, 2023 (Rs./Quintal)","Prices December, 2023 (Rs./Quintal)","Prices January, 2024 (Rs./Quintal)","Prices February, 2024 (Rs./Quintal)","Prices March, 2024 (Rs./Quintal)","Prices May, 2024 (Rs./Quintal)","Prices April, 2024 (Rs./Quintal)","Prices June, 2024 (Rs./Quintal)","Prices August, 2024 (Rs./Quintal)","Prices July, 2024 (Rs./Quintal)","Prices September, 2024 (Rs./Quintal)","Prices October, 2024 (Rs./Quintal)","Prices November, 2024 (Rs./Quintal)","Prices December, 2024 (Rs./Quintal)","Prices January, 2021 (Rs./Quintal)"
Madhya Pradesh,,,,40.8,20.4,Jowar,2023,11,,,,,,,,,,,,,,,,,2664.03,,,,,,,,,,,,,2277.72,3207.07,,,,,,,,,,,,,,
Maharashtra,,,,5.1,30.9,Jowar,2023,11,,,,,,,,,,,,,,,,,3629.5,,,,,,,,,,,,,4521.67,4752.59,,,,,,,,,,,,,,
NCT of Delhi,,,,-1.2,,Jowar,2023,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2836.79,2802.0,,,,,,,,,,,,,,
Rajasthan,,,,8.4,20.4,Jowar,2023,11,,,,,,,,,,,,,,,,,2737.12,,,,,,,,,,,,,3039.41,3296.08,,,,,,,,,,,,,,
Tamil Nadu,,,,22.3,22.7,Jowar,2023,11,,,,,,,,,,,,,,,,,2708.93,,,,,,,,,,,,,2716.36,3322.72,,,,,,,,,,,,,,
Telangana,,,,35.4,21.2,Jowar,2023,11,,,,,,,,,,,,,,,,,3071.4,,,,,,,,,,,,,2749.05,3721.38,,,,,,,,,,,,,,
Uttar Pradesh,,,,-0.0,19.2,Jowar,2023,11,,,,,,,,,,,,,,,,,2570.91,,,,,,,,,,,,,3064.78,3063.59,,,,,,,,,,,,,,
Andhra Pradesh,,,,-2.1,24.4,Jowar,2023,12,,,,,,,,,,,,,,,,,,,2909.17,,,,,,,,,,,,3697.25,3618.6,,,,,,,,,,,,,
Gujarat,,,,-0.4,30.6,Jowar,2023,12,,,,,,,,,,,,,,,,,,,3580.64,,,,,,,,,,,,4695.33,4676.12,,,,,,,,,,,,,
Haryana,,,,,,Jowar,2023,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400.0,,,,,,,,,,,,,
Karnataka,,,,-4.5,24.9,Jowar,2023,12,,,,,,,,,,,,,,,,,,,3505.48,,,,,,,,,,,,4585.37,4379.16,,,,,,,,,,,,,
Madhya Pradesh,,,,24.4,20.6,Jowar,2023,12,,,,,,,,,,,,,,,,,,,3307.26,,,,,,,,,,,,3207.07,3988.55,,,,,,,,,,,,,
Maharashtra,,,,-3.2,18.1,Jowar,2023,12,,,,,,,,,,,,,,,,,,,3895.04,,,,,,,,,,,,4752.59,4599.14,,,,,,,,,,,,,
NCT of Delhi,,,,4.2,,Jowar,2023,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2802.0,2921.0,,,,,,,,,,,,,
Rajasthan,,,,12.5,3.5,Jowar,2023,12,,,,,,,,,,,,,,,,,,,3582.77,,,,,,,,,,,,3296.08,3707.24,,,,,,,,,,,,,
Tamil Nadu,,,,-12.5,14.3,Jowar,2023,12,,,,,,,,,,,,,,,,,,,2543.64,,,,,,,,,,,,3322.72,2908.03,,,,,,,,,,,,,
Telangana,,,,-14.6,37.5,Jowar,2023,12,,,,,,,,,,,,,,,,,,,2312.5,,,,,,,,,,,,3721.38,3179.45,,,,,,,,,,,,,
Uttar Pradesh,,,,25.4,0.7,Jowar,2023,12,,,,,,,,,,,,,,,,,,,3816.8,,,,,,,,,,,,3063.59,3841.9,,,,,,,,,,,,,
Andhra Pradesh,,,,-12.8,7.5,Jowar,2024,1,,,,,,,,,,,,,,,,,,,,,2934.18,,,,,,,,,,,3618.6,3155.2,,,,,,,,,,,,
Chattisgarh,,,,,,Jowar,2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,,,,,,,,,,,,
Gujarat,,,,-11.3,3.9,Jowar,2024,1,,,,,,,,,,,,,,,,,,,,,3989.01,,,,,,,,,,,4676.12,4145.99,,,,,,,,,,,,
Haryana,,,,,,Jowar,2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400.0,,,,,,,,,,,,,
Karnataka,,,,-31.6,-0.7,Jowar,2024,1,,,,,,,,,,,,,,,,,,,,,3015.43,,,,,,,,,,,4379.16,2993.58,,,,,,,,,,,,
Madhya Pradesh,,,,-43.5,-17.4,Jowar,2024,1,,,,,,,,,,,,,,,,,,,,,2728.15,,,,,,,,,,,3988.55,2251.97,,,,,,,,,,,,
Maharashtra,,,,1.8,17.7,Jowar,2024,1,,,,,,,,,,,,,,,,,,,,,3974.43,,,,,,,,,,,4599.14,4679.64,,,,,,,,,,,,
NCT of Delhi,,,,,,Jowar,2024,1,,,,,,,,,,,,,,,,,,,,,2900.0,,,,,,,,,,,2921.0,,,,,,,,,,,,,
Rajasthan,,,,-12.4,-11.2,Jowar,2024,1,,,,,,,,,,,,,,,,,,,,,3654.93,,,,,,,,,,,3707.24,3245.95,,,,,,,,,,,,
Tamil Nadu,,,,-8.1,-8.2,Jowar,2024,1,,,,,,,,,,,,,,,,,,,,,2908.6,,,,,,,,,,,2908.03,2671.44,,,,,,,,,,,,
Telangana,,,,,,Jowar,2024,1,,,,,,,,,,,,,,,,,,,,,2336.75,,,,,,,,,,,3179.45,,,,,,,,,,,,,
Uttar Pradesh,,,,14.8,-2.2,Jowar,2024,1,,,,,,,,,,,,,,,,,,,,,4507.62,,,,,,,,,,,3841.9,4409.41,,,,,,,,,,,,
Andhra Pradesh,,,,-0.2,7.8,Jowar,2024,2,,,,,,,,,,,,,,,,,,,,,,2920.9,,,,,,,,,,,3155.2,3149.63,,,,,,,,,,,
Chattisgarh,,,,,,Jowar,2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,,,,,,,,,,,,
Gujarat,,,,-9.0,-21.9,Jowar,2024,2,,,,,,,,,,,,,,,,,,,,,,4827.38,,,,,,,,,,,4145.99,3772.14,,,,,,,,,,,
Karnataka,,,,-0.9,7.6,Jowar,2024,2,,,,,,,,,,,,,,,,,,,,,,2757.42,,,,,,,,,,,2993.58,2967.15,,,,,,,,,,,
Madhya Pradesh,,,,5.8,7.5,Jowar,2024,2,,,,,,,,,,,,,,,,,,,,,,2217.21,,,,,,,,,,,2251.97,2382.85,,,,,,,,,,,
Maharashtra,,,,-22.4,-9.5,Jowar,2024,2,,,,,,,,,,,,,,,,,,,,,,4009.87,,,,,,,,,,,4679.64,3630.47,,,,,,,,,,,
NCT of Delhi,,,,,,Jowar,2024,2,,,,,,,,,,,,,,,,,,,,,,2994.44,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,4.2,-6.0,Jowar,2024,2,,,,,,,,,,,,,,,,,,,,,,3598.71,,,,,,,,,,,3245.95,3381.2,,,,,,,,,,,
Tamil Nadu,,,,-2.5,25.6,Jowar,2024,2,,,,,,,,,,,,,,,,,,,,,,2073.16,,,,,,,,,,,2671.44,2603.19,,,,,,,,,,,
Telangana,,,,,-40.7,Jowar,2024,2,,,,,,,,,,,,,,,,,,,,,,3202.73,,,,,,,,,,,,1900.0,,,,,,,,,,,
Uttar Pradesh,,,,-12.4,-8.1,Jowar,2024,2,,,,,,,,,,,,,,,,,,,,,,4204.14,,,,,,,,,,,4409.41,3862.02,,,,,,,,,,,
Andhra Pradesh,,,,1.2,6.3,Jowar,2024,3,,,,,,,,,,,,,,,,,,,,,,,2998.81,,,,,,,,,,,3149.63,3188.57,,,,,,,,,,
Chattisgarh,,,,,,Jowar,2024,3,,,,,,,,,,,,,,,,,,,,,,,2200.0,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,-0.4,-18.0,Jowar,2024,3,,,,,,,,,,,,,,,,,,,,,,,4579.84,,,,,,,,,,,3772.14,3755.75,,,,,,,,,,
Karnataka,,,,2.9,3.9,Jowar,2024,3,,,,,,,,,,,,,,,,,,,,,,,2936.54,,,,,,,,,,,2967.15,3051.59,,,,,,,,,,
Madhya Pradesh,,,,-2.5,6.6,Jowar,2024,3,,,,,,,,,,,,,,,,,,,,,,,2179.47,,,,,,,,,,,2382.85,2323.2,,,,,,,,,,
Maharashtra,,,,-14.8,-19.0,Jowar,2024,3,,,,,,,,,,,,,,,,,,,,,,,3821.36,,,,,,,,,,,3630.47,3094.44,,,,,,,,,,
NCT of Delhi,,,,,,Jowar,2024,3,,,,,,,,,,,,,,,,,,,,,,,2600.0,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,-7.0,-11.8,Jowar,2024,3,,,,,,,,,,,,,,,,,,,,,,,3562.41,,,,,,,,,,,3381.2,3143.93,,,,,,,,,,
Tamil Nadu,,,,28.1,41.5,Jowar,2024,3,,,,,,,,,,,,,,,,,,,,,,,2356.45,,,,,,,,,,,2603.19,3334.6,,,,,,,,,,
Telangana,,,,18.4,-48.8,Jowar,2024,3,,,,,,,,,,,,,,,,,,,,,,,4394.88,,,,,,,,,,,1900.0,2250.49,,,,,,,,,,
Uttar Pradesh,,,,8.2,11.9,Jowar,2024,3,,,,,,,,,,,,,,,,,,,,,,,3733.77,,,,,,,,,,,3862.02,4177.0,,,,,,,,,,
Andhra Pradesh,,,,-0.3,5.0,Jowar,2024,4,,,,,,,,,,,,,,,,,,,,,,,,3028.02,,,,,,,,,,,3188.57,,3180.0,,,,,,,,
Gujarat,,,,-11.7,-9.5,Jowar,2024,4,,,,,,,,,,,,,,,,,,,,,,,,3666.19,,,,,,,,,,,3755.75,,3317.22,,,,,,,,
Karnataka,,,,4.2,2.8,Jowar,2024,4,,,,,,,,,,,,,,,,,,,,,,,,3091.24,,,,,,,,,,,3051.59,,3178.97,,,,,,,,
Madhya Pradesh,,,,-4.6,7.0,Jowar,2024,4,,,,,,,,,,,,,,,,,,,,,,,,2071.46,,,,,,,,,,,2323.2,,2215.41,,,,,,,,
Maharashtra,,,,-4.2,-14.1,Jowar,2024,4,,,,,,,,,,,,,,,,,,,,,,,,3449.61,,,,,,,,,,,3094.44,,2964.55,,,,,,,,
NCT of Delhi,,,,,,Jowar,2024,4,,,,,,,,,,,,,,,,,,,,,,,,3326.18,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,-6.7,-20.1,Jowar,2024,4,,,,,,,,,,,,,,,,,,,,,,,,3672.1,,,,,,,,,,,3143.93,,2932.22,,,,,,,,
Tamil Nadu,,,,10.0,6.1,Jowar,2024,4,,,,,,,,,,,,,,,,,,,,,,,,3457.9,,,,,,,,,,,3334.6,,3668.84,,,,,,,,
Telangana,,,,43.4,-29.3,Jowar,2024,4,,,,,,,,,,,,,,,,,,,,,,,,4566.48,,,,,,,,,,,2250.49,,3227.61,,,,,,,,
Uttar Pradesh,,,,-13.6,4.3,Jowar,2024,4,,,,,,,,,,,,,,,,,,,,,,,,3460.25,,,,,,,,,,,4177.0,,3608.19,,,,,,,,
Andhra Pradesh,,,,0.1,2.1,Jowar,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,3115.28,,,,,,,,,,,3182.38,3180.0,,,,,,,,
Chattisgarh,,,,,,Jowar,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121.0,,,,,,,,,
Gujarat,,,,8.8,2.6,Jowar,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,3517.8,,,,,,,,,,,3608.38,3317.22,,,,,,,,
Karnataka,,,,1.5,-5.0,Jowar,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,3397.7,,,,,,,,,,,3227.48,3178.97,,,,,,,,
Madhya Pradesh,,,,-0.2,15.0,Jowar,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,1922.87,,,,,,,,,,,2211.87,2215.41,,,,,,,,
Maharashtra,,,,-3.9,-16.4,Jowar,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,3410.85,,,,,,,,,,,2850.49,2964.55,,,,,,,,
NCT of Delhi,,,,,,Jowar,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,2921.0,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,11.1,-3.9,Jowar,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,3390.05,,,,,,,,,,,3257.64,2932.22,,,,,,,,
Tamil Nadu,,,,-0.2,-9.1,Jowar,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,4025.76,,,,,,,,,,,3661.35,3668.84,,,,,,,,
Telangana,,,,-1.4,44.9,Jowar,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,2195.2,,,,,,,,,,,3181.7,3227.61,,,,,,,,
Uttar Pradesh,,,,-15.2,5.7,Jowar,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,2897.98,,,,,,,,,,,3061.66,3608.19,,,,,,,,
Andhra Pradesh,,,,,,Jowar,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,3258.05,,,,,,,,,,3182.38,,,,,,,,,
Chattisgarh,,,,22.6,15.6,Jowar,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,2250.0,,,,,,,,,,2121.0,,2601.0,,,,,,,
Gujarat,,,,11.0,-16.3,Jowar,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,4784.78,,,,,,,,,,3608.38,,4005.93,,,,,,,
Karnataka,,,,0.5,-12.0,Jowar,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,3686.8,,,,,,,,,,3227.48,,3242.82,,,,,,,
Madhya Pradesh,,,,7.3,29.6,Jowar,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,1831.38,,,,,,,,,,2211.87,,2373.64,,,,,,,
Maharashtra,,,,2.5,-21.1,Jowar,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,3702.42,,,,,,,,,,2850.49,,2921.43,,,,,,,
NCT of Delhi,,,,,,Jowar,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,2810.77,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,6.6,-15.5,Jowar,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,4112.26,,,,,,,,,,3257.64,,3473.71,,,,,,,
Tamil Nadu,,,,12.2,33.8,Jowar,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,3071.87,,,,,,,,,,3661.35,,4109.26,,,,,,,
Telangana,,,,-3.0,6.2,Jowar,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,2906.84,,,,,,,,,,3181.7,,3087.82,,,,,,,
Uttar Pradesh,,,,0.1,-16.8,Jowar,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,3682.54,,,,,,,,,,3061.66,,3064.24,,,,,,,
Andhra Pradesh,,,,,,Jowar,2024,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3285.33,,,,,,,,,,,,,,,,,,
Chattisgarh,,,,-0.0,18.2,Jowar,2024,7,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,,,,,,,,,,,2601.0,,2600.0,,,,,
Gujarat,,,,2.5,-14.9,Jowar,2024,7,,,,,,,,,,,,,,,,,,,,,,,,,,,4825.75,,,,,,,,,,,4005.93,,4107.86,,,,,
Karnataka,,,,-6.7,-24.9,Jowar,2024,7,,,,,,,,,,,,,,,,,,,,,,,,,,,4029.83,,,,,,,,,,,3242.82,,3025.84,,,,,
Madhya Pradesh,,,,1.2,-2.9,Jowar,2024,7,,,,,,,,,,,,,,,,,,,,,,,,,,,2474.0,,,,,,,,,,,2373.64,,2403.31,,,,,
Maharashtra,,,,7.7,-25.2,Jowar,2024,7,,,,,,,,,,,,,,,,,,,,,,,,,,,4203.84,,,,,,,,,,,2921.43,,3146.1,,,,,
NCT of Delhi,,,,,-8.1,Jowar,2024,7,,,,,,,,,,,,,,,,,,,,,,,,,,,2983.87,,,,,,,,,,,,,2742.86,,,,,
Rajasthan,,,,-11.1,-8.8,Jowar,2024,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3385.22,,,,,,,,,,,3473.71,,3088.33,,,,,
Tamil Nadu,,,,,,Jowar,2024,7,,,,,,,,,,,,,,,,,,,,,,,,,,,4004.77,,,,,,,,,,,4109.26,,,,,,,
Telangana,,,,1.1,17.8,Jowar,2024,7,,,,,,,,,,,,,,,,,,,,,,,,,,,2651.23,,,,,,,,,,,3087.82,,3123.46,,,,,
Uttar Pradesh,,,,7.5,-0.5,Jowar,2024,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3308.86,,,,,,,,,,,3064.24,,3293.35,,,,,
Andhra Pradesh,,,,,,Jowar,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,3301.28,,,,,,,,,,,,,,,,,
Chattisgarh,,,,,,Jowar,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600.0,,,,,
Gujarat,,,,-8.6,-18.4,Jowar,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,4605.61,,,,,,,,,,,3756.45,4107.86,,,,,
Karnataka,,,,-1.4,-24.5,Jowar,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,3954.68,,,,,,,,,,,2984.38,3025.84,,,,,
Madhya Pradesh,,,,3.6,19.5,Jowar,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083.66,,,,,,,,,,,2489.64,2403.31,,,,,
Maharashtra,,,,-1.8,-27.9,Jowar,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,4286.68,,,,,,,,,,,3090.29,3146.1,,,,,
NCT of Delhi,,,,9.4,-17.2,Jowar,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,3625.0,,,,,,,,,,,3000.0,2742.86,,,,,
Rajasthan,,,,-2.7,-1.5,Jowar,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050.21,,,,,,,,,,,3003.97,3088.33,,,,,
Tamil Nadu,,,,,,Jowar,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,3408.59,,,,,,,,,,,,,,,,,
Telangana,,,,-12.8,-9.7,Jowar,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,3016.55,,,,,,,,,,,2724.21,3123.46,,,,,
Uttar Pradesh,,,,-7.8,15.9,Jowar,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2619.62,,,,,,,,,,,3037.42,3293.35,,,,,
Andhra Pradesh,,,,,,Jowar,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3407.5,,,,,,,,,,,,,,,,
Gujarat,,,,-9.7,-16.6,Jowar,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069.52,,,,,,,,,,3756.45,,3392.57,,,,
Karnataka,,,,-22.2,-33.2,Jowar,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3473.82,,,,,,,,,,2984.38,,2320.3,,,,
Madhya Pradesh,,,,2.7,11.7,Jowar,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2290.0,,,,,,,,,,2489.64,,2557.39,,,,
Maharashtra,,,,-1.7,-32.3,Jowar,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4487.41,,,,,,,,,,3090.29,,3038.45,,,,
NCT of Delhi,,,,2.8,-9.8,Jowar,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3418.58,,,,,,,,,,3000.0,,3082.55,,,,
Rajasthan,,,,5.9,7.9,Jowar,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2948.28,,,,,,,,,,3003.97,,3180.68,,,,
Tamil Nadu,,,,,,Jowar,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3425.48,,,,,,,,,,,,,,,,
Telangana,,,,19.1,14.8,Jowar,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2823.91,,,,,,,,,,2724.21,,3243.04,,,,
Uttar Pradesh,,,,-3.7,5.3,Jowar,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2778.27,,,,,,,,,,3037.42,,2926.33,,,,
Andhra Pradesh,,,,,,Jowar,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3533.08,,,,,,,,,,,,,,,
Chattisgarh,,,,,,Jowar,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,,,
Gujarat,,,,-4.5,-26.2,Jowar,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4391.01,,,,,,,,,,,3392.57,3240.91,,,
Karnataka,,,,1.5,-40.0,Jowar,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3926.29,,,,,,,,,,,2320.3,2355.63,,,
Madhya Pradesh,,,,-4.2,7.6,Jowar,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2277.72,,,,,,,,,,,2557.39,2451.13,,,
Maharashtra,,,,0.3,-32.6,Jowar,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4521.67,,,,,,,,,,,3038.45,3047.48,,,
NCT of Delhi,,,,-1.0,7.5,Jowar,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2836.79,,,,,,,,,,,3082.55,3051.0,,,
Rajasthan,,,,-17.0,-13.2,Jowar,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3039.41,,,,,,,,,,,3180.68,2639.71,,,
Tamil Nadu,,,,,,Jowar,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2716.36,,,,,,,,,,,,,,,
Telangana,,,,-19.6,-5.2,Jowar,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2749.05,,,,,,,,,,,3243.04,2607.34,,,
Uttar Pradesh,,,,2.8,-1.8,Jowar,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3064.78,,,,,,,,,,,2926.33,3009.21,,,
Andhra Pradesh,,,,,,Jowar,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3697.25,,,,,,,,,,,,,,
Chattisgarh,,,,-12.5,,Jowar,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,3500.0,,
Gujarat,,,,5.1,-27.5,Jowar,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4695.33,,,,,,,,,,,3240.91,3405.31,,
Karnataka,,,,1.5,-47.8,Jowar,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4585.37,,,,,,,,,,,2355.63,2391.62,,
Madhya Pradesh,,,,3.2,-21.1,Jowar,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3207.07,,,,,,,,,,,2451.13,2529.33,,
Maharashtra,,,,3.2,-33.8,Jowar,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4752.59,,,,,,,,,,,3047.48,3144.1,,
NCT of Delhi,,,,-12.6,-4.8,Jowar,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2802.0,,,,,,,,,,,3051.0,2668.24,,
Rajasthan,,,,12.4,-9.9,Jowar,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3296.08,,,,,,,,,,,2639.71,2967.99,,
Tamil Nadu,,,,,,Jowar,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3322.72,,,,,,,,,,,,,,
Telangana,,,,18.4,-17.1,Jowar,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3721.38,,,,,,,,,,,2607.34,3086.61,,
Uttar Pradesh,,,,4.9,3.0,Jowar,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3063.59,,,,,,,,,,,3009.21,3157.06,,
Andhra Pradesh,,,,,,Jowar,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618.6,,,,,,,,,,,,,
Chattisgarh,,,,-22.7,,Jowar,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500.0,2706.0,
Gujarat,,,,6.8,-22.2,Jowar,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4676.12,,,,,,,,,,,3405.31,3637.23,
Haryana,,,,,,Jowar,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400.0,,,,,,,,,,,,,
Karnataka,,,,6.3,-42.0,Jowar,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4379.16,,,,,,,,,,,2391.62,2541.36,
Madhya Pradesh,,,,18.4,-24.9,Jowar,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3988.55,,,,,,,,,,,2529.33,2994.96,
Maharashtra,,,,-0.3,-31.8,Jowar,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4599.14,,,,,,,,,,,3144.1,3134.75,
NCT of Delhi,,,,7.0,-2.3,Jowar,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2921.0,,,,,,,,,,,2668.24,2854.96,
Rajasthan,,,,4.7,-16.1,Jowar,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3707.24,,,,,,,,,,,2967.99,3108.39,
Tamil Nadu,,,,,,Jowar,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2908.03,,,,,,,,,,,,,
Telangana,,,,17.2,13.8,Jowar,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3179.45,,,,,,,,,,,3086.61,3618.21,
Uttar Pradesh,,,,7.1,-12.0,Jowar,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3841.9,,,,,,,,,,,3157.06,3381.8,
Chattisgarh,,2500.0,,,25.0,Ragi,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0
Karnataka,,2262.17,,-17.6,-6.3,Ragi,2022,1,,,,,,,,,,,,,,,,,,,,2744.43,,,,,,,,,,,,,,,,,,,,,,,,,2415.63
Kerala,,3450.0,,,,Ragi,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,3450.0,,,,Ragi,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pondicherry,,2257.69,,,,Ragi,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
